,Title,Authors,referencia,Abstract,Author Keywords,fonte
artivo79,"""DA CASA AO CONGRESSO--A INSERCAO DAS MULHERES NA POLITICA PARTIDARIA: ACOES AFIRMATIVAS PARA INCLUSAO FEMININA NOS PARLAMENTOS""","""Costa_ Ilton Garcia | Navas_ Ana Pavanini""","""Quaestio Iuris, 2017, Vol.10(4), p.2904(22) [Periódico revisado por pares]""","""O artigo trata da participacao feminina na politica dos partidos de nacoes democraticas, em especial o Brasil. Sera dissertado sobre o percurso emancipatorio da mulher nos ultimos dois seculos ate os dias atuais, tratando da ascensao social da mulher, com enfase em sua crescente participacao na politica do pais como eleitora e como candidata a um determinado cargo eletivo. Legalmente nao ha mais diferenca de entre o genero masculino e feminino no que tange ao usufruto de direitos, mas ainda e pequena a participacao das mulheres em eleicoes, sendo poucas as eleitas. Discorrer-se-a sobre acoes afirmativas a fim de inclui-las nos parlamentos, promovendo a igualdade material. Os metodos utilizados serao os indutivo, dedutivo, analitico regressivo e revisao bibliografica.""","""Direitos politicos Mulheres Participacao Lei Inclusao""","""Cengage Learning"""
artivo80,"""O princípio da igualdade na Constituição Brasileira e sua aplicabilidade nas ações afirmativas referentes ao ingresso no ensino superior""","""Clóvis Gorczevski | Rosane Beatris Mariano Da Rocha Barcelos Terra""","""Revista Direito e Justiça, 01 April 2010, Vol.1(9), pp.117-138 [Periódico revisado por pares]""","""O presente artigo é fruto da inquietação frente aos postulados que envolvem a temática da igualdade. Versando sobre a efetivação do Direito Fundamental e constitucional à Igualdade como""",,
artivo81,"""Acoes afirmativas: polemicas e possibilidades sobre igualdade racial e o papel do Estado.(Report)""","""Dos Santos_ Sales Augusto | Cavalleiro_ Eliane | Barbosa_ Maria Ines Da Silva | Ribeiro_ Matilde""","""Revista Estudo Feministas, Sept-Dec, 2008, Vol.16(3), p.913(17) [Periódico revisado por pares]""","""O artigo analisa a importancia do papel do Estado para a implementacao das politicas publicas de acao afirmativa, especialmente para estudantes negros ingressarem no ensino superior publico. Argumenta-se que a acao afirmativa e uma das alternativas para reduzir ou minimizar a desigualdade de insercao entre estudantes negros e brancos de escolas publicas e/ou particulares no ensino superior, especialmente por meio de uma de suas tecnicas de implementacao: o sistema de cotas. Embora haja varios argumentos contra o sistema de cotas, os autores se concentraram em debater ou contra-argumentar apenas um: o de que o sistema de cotas podera gerar conflitos raciais no Brasil.""","""politicas publicas; acoes afirmativas; sistema de cotas; ensino superior; conflitos raciais""","""Cengage Learning"""
artivo82,"""DISCRIMINACAO POSITIVA E AS ACOES AFIRMATIVAS: EQUALIZACAO E REPARACAO HISTORICA DAS MINORIAS ESTIGMATIZADAS PELAS MEDIDAS POSITIVAS DE INCLUSAO NO SERVICO PUBLICO""","""Araujo_ Luis Claudio Martins | Viegas_ Tiago Machado""","""Quaestio Iuris, 2016, Vol.9(1), p.181(24) [Periódico revisado por pares]""","""O presente artigo cuida de tracar os principais aspectos acerca da concepcao e aplicacao das Acoes Afirmativas no alcance da verdadeira igualdade juridica. Tambem trata de analisar a compatibilidade do modelo constitucional brasileiro com essas medidas de politica positiva, que visam a inclusao de grupos minoritarios no servico publico do Pais, de forma a conceder uma resposta concreta as desigualdades economicas e sociais que marcam a historia do Brasil.""","""Acao Afirmativa Igualdade Justica Servico Publico""","""Cengage Learning"""
artivo83,"""POVOS INDIGENAS E ACOES AFIRMATIVAS: ASPECTOS SOBRE A IMPLEMENTACAO DA LEI N. 12.711/2012 PELAS INSTITUICOES DE ENSINO FEDERAIS.(Report)""","""de Lemos_ Isabele Batista""","""Quaestio Iuris, 2015, Vol.8(3), p.1369(24) [Periódico revisado por pares]""","""No presente artigo, analisa-se o sistema de reserva de vagas instituido pela Lei. n. 12.711/2012 para povos indigenas nas universidades e nos institutos tecnicos federais. No contexto das politicas afirmativas voltadas a esse grupo vulneravel e das reivindicacoes do movimento indigena brasileiro, discute- se o espaco deixado pela Lei n. 12.711 para a atuacao das instituicoes de ensino federais, no sentido de ajustarem os criterios de ingresso dos indigenas as especificidades desses povos, de modo a tornarem a medida afirmativa adequada e eficaz. Neste sentido, propoe-se que as universidades e os institutos tecnicos de nivel medio, no ambito de sua autonomia, possam adotar o metodo de identificacao dos candidatos segundo os parametros da Convencao 169 da OIT, bem como realizar processo seletivo diferenciado para os estudantes indigenas.""","""Povos indigenas Acoes afirmativas Lei n 12 711/2012 Convencao 169 OIT Selecao diferenciada""","""Cengage Learning"""
artivo84,"""IGUALDADE E NAO DISCRIMINACAO: UM DEBATE SOBRE AS ACOES AFIRMATIVAS PARA A GARANTIA DE DIREITOS DOS HOMOSSEXUAIS NA SOCIEDADE BRASILEIRA/ IGUALDAD Y NO DISCRIMINACION: UN DEBATE SOBRE LAS ACCIONES AFIRMATIVAS PARA GARANTIZAR LOS DERECHOS PARA LOS HOMOSEXUAIS EN LA SOCIEDAD BRASILENA""","""Lima_ Fernanda Da Silva | Beninca_ Alexsandra Pizzetti""","""Revista Thesis Juris, 2017, Vol.6(2), p.328(21) [Periódico revisado por pares]""","""La teoria de los derechos humanos y fundamentales tiene como fundamento asegurar el derecho de todas las personas su plena dignidad y que todos sean tratados de manera comun, independientemente de su condicion social, nacionalidad, sexo, raza, condicion sexual, credo, o cualquier otra condicion capaz de diferenciar. El progreso legislativo con respecto a la garantia de los derechos fundamentales y humanos en plan formal para los homosexuales, conforme al objetivo general de este estudio trata de demostrar, no es suficiente para garantizar los plenos derechos a estos sujetos, asi como, no impide que sean objetivo de diversas formas de discriminacion, especialmente los que afectan su dignidad sexual. En cuanto a la metodologia, esta investigacion debe ser clasificado como cualitativo y descriptivo, con utilizacion de la pesquisa bibliografica.""","""Accion afirmativa La homosexualidad Reconocimiento A teoria dos direitos humanos e fundamentais""","""Cengage Learning"""
artivo85,"""Pensamento social e político de josé de souza marques: análise da trajetória de vida de um afro-descendente pioneiro das ações afirmativas no Brasil""","""Baía_ Paulo""","""Passagens, 2013, Vol.5(1), pp.102-125 [Periódico revisado por pares]""","""Estudar a dinâmica da vida social, política e cultural de uma personalidade quase anônima como José de Souza Marques teve por objetivo maior compreender a educação cidadã, o combate às intolerâncias, a cultura da paz, o republicanismo democrático e a ética do trabalho como uma virtude pessoal do empreendedor, estreitando o contato com comunidades múltiplas e diversificadas por meio de um discurso acadêmico que valoriza um fazer cotidiano que perde adeptos dia a dia; contribui para pensar outras questões pertinentes, como o papel das lideranças locais, educadores e militantes sociais nos processos de construção de identidades, memórias e representações coletivas de uma nacionalidade brasileira e o papel de instituições como escolas, igrejas não católicas, micro e pequenas empresas e a maçonaria como espelhos das múltiplas comunidades locais e loci de informação, instrução e construção de uma cidadania periférica aos padrões ibéricos brancos e excludentes.""",,"""Fundación Dialnet"""
artivo86,"""A experiência estadunidense das ações afirmativas: uma análise à luz da teoria da igualdade de Ronald Dworkin - doi: 10.5007/2175-795Xv28n1p63""",""" ""","""Perspectiva, 01 June 2010, Vol.28(1), pp.63-88 [Periódico revisado por pares]""","""A teoria da igualdade de Ronald Dworkin se baseia no primado da igualdade de recursos, como faceta da justiça distributiva, compatível com uma sociedade liberal fraterna, baseada em um princípio político da igual consideração de todos seus membros.... """,,Directory of Open Access
artivo87,"""Política de cotas no Brasil: política social?""","""Leite_ Janete Luzia""","""Revista Katálysis, 01 June 2011, Vol.14(1), pp.23-31 [Periódico revisado por pares]""","""Este artigo discute as políticas de ação afirmativas - notadamente a política de cotas - como mais uma estratégia do capitalismo em seu estágio atual para passivizar a classe trabalhadora na luta pela ampliação de direitos sociais. Parte da hipótese de que segmentos historicamente explorados têm a sua não integração na sociedade como resultante da ""questão social"", e não de determinações particularistas. Para tanto, utiliza a teoria social crítica para analisar a emersão e o evolver das políticas sociais no Brasil e de que forma estas se metamorfoseiam sob a égide do governo Luís Inácio Lula da Silva. O sistema de cotas étnico-raciais para o ingresso no ensino superior público é aqui contrastado com a defesa de políticas públicas de caráter universal. Conclui que a assistencialização das políticas sociais é mais um instrumento para eliminar a luta política dos trabalhadores e escamotear as expressões da questão social.""",,
artivo88,"""Políticas de inclusão aplicadas na Universidade Federal de Santa Catarina: gestão social ou gestão estratégica?""","""Kátia Denise Moreira | Mércia Pereira | Sirlene Silveira de Amorim | Luís Moretto Neto""","""Revista Gestão Universitária na América Latina, 01 June 2011, Vol.4(4), pp.251-273 [Periódico revisado por pares]""","""http://dx.doi-org.ez86.periodicos.capes.gov.br/10.5007/1983-4535.2011v4nespp251   As políticas de inclusão, aplicadas no âmbito da Universidade Federal de Santa Catarina (UFSC) estão expressas no programa de Ações Afirmativas, o qual trata do sistema de cotas, o Programa Incluir, aplicado para aqueles portadores de necessidades... """,,Directory of Open Access
artivo89,"""A PRODUCAO ACADEMICA JURIDICA SOBRE AS ACOES AFIRMATIVAS NO BRASIL (2013 A 2016): TESES E DISSERTACOES SOB A OTICA DOS DIREITOS HUMANOS E FUNDAMENTAIS""","""Kim_ Richard Pae | Tommasiello_ Flavia Carneiro""","""Revista de Direito Brasileira, 2018, Vol.19, p.276(22) [Periódico revisado por pares]""","""O presente trabalho e resultado de pesquisa consistente em levantamento da producao cientifica na area do Direito das Teses e Dissertacoes defendidas nas universidades brasileiras no periodo de 2013 a 2016, que tenham como pano de fundo--principal ou parcial--o tema das acoes afirmativas. A metodologia utilizada na pesquisa foi a do ""estado do conhecimento"", com a finalidade de mapear e levantar dados sobre o conhecimento produzido sobre esse novel tema em um universo especifico. A opcao pela analise dasTeses e Dissertacoes desse periodo justifica-se porque os trabalhose resumosencontram-se disponiveis no Banco de Teses da Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior--CAPES. A importancia das acoes afirmativas, como instrumentos de promocao da igualdade material ou substancial direcionados para algumas minorias sociais, em razao de exclusoes historicas, se reflete nao so pela producao academica, mas tambem pelasatuais politicas publicas que tem sido amplificadas em todos os niveis federativos.A constitucionalidade de normas que criaram algumas dessas politicas de discriminacao positivafoi reconhecida inclusive pelo Supremo Tribunal Federal, que as considerou como reais e necessarias medidas a serem adotadas a fim de amenizaros deficits de cidadania ou remediar as condicoes sociais resultantes de uma heranca historica discriminatoria. Nesse trabalho mencionaremos um esboco do conteudo juridico das acoes afirmativas e suas politicas, quais foram os principais temas tratados na referida producao cientifico-juridica, a sua divisao por regioes e uma singela analise do ""estado do conhecimento"".""","""Direitos Fundamentais Igualdade Acoes Afirmativas Politicas Publicas Producao Academica Estado do Conhecimento""","""Cengage Learning"""
artivo90,"""Fundamental Right to Equality and the Principle of Solidarity as Constitutional Basis for Affirmative Actions""","""Iuri Bolesina | Tássia Aparecida Gervasoni""","""Revista Brasileira de Direitos e Garantias Fundamentais, 01 October 2016, Vol.2(1), pp.186-208 [Periódico revisado por pares]""","""This paper will investigate the constitutional basis for affirmative action and quotas in a democratic state. It will be examined two possible reasons: the fundamental right to equality and the constitutional principle of solidarity. Established these assumptions, it will faced the discussion about affirmative action, specifically the reserves of quotas, seeking to elucidate arguments for and against commonly given to these actions, as in the light of the grounds set forth in the first part of the study. The methodology used is the hermeneutic phenomenology approach method, the monographic procedure method and the indirect documentation search technique.""",,
artivo91,"""Movimentos negros, educação e ações afirmativas""","""Santos_ Sales Augusto Dos""","""Sociedade e Estado, 01 April 2008, Vol.23(1), pp.187-188 [Periódico revisado por pares]""","""Curso: Doutorado em Sociologia Data da defesa: 7 de agosto de 2007 Orientador: Prof. Dr. Sadi Dal Rosso""",,
artivo92,"""Ações afirmativas no Brasil: desafios e perspectivas""","""Piovesan_ Flávia""","""Revista Estudos Feministas, 01 December 2008, Vol.16(3), pp.887-896 [Periódico revisado por pares]""","""Qual é o balanço das ações afirmativas na experiência brasileira? Como compreender as primeiras iniciativas de adoção de marcos legais instituidores das ações afirmativas? Qual tem sido o impacto da agenda global na ordem doméstica? Em que medida a Convenção sobre a Eliminação de todas as formas de Discriminação Racial e a Conferência de Durban fomentaram avanços internos? Quais são os principais desafios, dilemas e tensões das ações afirmativas? Quais são as possibilidades e perspectivas de construção da igualdade étnico-racial no caso brasileiro? São estas as questões centrais a inspirar este artigo.""",,
artivo93,"""A idéia de igualdade as ações afirmativas""","""Barrozo_ Paulo Daflon""","""Lua Nova: Revista de Cultura e Política, January 2004, Issue 63, pp.103-141 [Periódico revisado por pares]""","""O artigo parte de uma reconstrução dos ideais de república e democracia no contexto da expansào moderna de ideais e programas emancipatórios para então entender o princípio da igualdade à sua luz. Desenvolve em seguida os rudimentos de uma teoria constitucional da igualdade consistente com o ideal emancipatório de onde deriva seu mais denso significado. Passa então a examinar a questão da ""ação afirmativa"" no acesso a cursos superiores no âmbito da teoria da igualdade cujas bases propöe.""",,
artivo94,"""Ações afirmativas da perspectiva dos direitos humanos""","""Flavia Piovesan""","""Cadernos de Pesquisa, 01 April 2005, Vol.35(124), pp.43-55 [Periódico revisado por pares]""","""Objetiva o artigo desenvolver uma análise a respeito das ações afirmativas sob a perspectiva dos direitos humanos. Inicialmente, trata da concepção contemporânea de direitos humanos, introduzida pela Declaração Universal de 1948, com ênfase... """,,Directory of Open Access
artivo95,"""Ações afirmativas da perspectiva dos direitos humanos""","""Piovesan_ Flavia""","""Cadernos de Pesquisa, 01 April 2005, Vol.35(124), pp.43-55 [Periódico revisado por pares]""","""Objetiva o artigo desenvolver uma análise a respeito das ações afirmativas sob a perspectiva dos direitos humanos. Inicialmente, trata da concepção contemporânea de direitos humanos, introduzida pela Declaração Universal de 1948, com ênfase na universalidade, indivisibilidade e interdependência dos direitos humanos. Em um segundo momento são apreciadas as ações afirmativas da perspectiva dos direitos humanos, com destaque dos valores da igualdade e diversidade. Por fim, são avaliadas as perspectivas e desafios para a implementação da igualdade étnico-racial na ordem contemporânea. """,,"""SciELO SciELO"""
artivo96,"""Ações afirmativas e o debate sobre racismo no Brasil""","""Hofbauer_ Andreas""","""Lua Nova: Revista de Cultura e Política, January 2006, Issue 68, pp.9-56 [Periódico revisado por pares]""","""O tema ""ações afirmativas"" tem dividido a opinião pública e esquentado o debate acadêmico. Enquanto alguns especialistas e militantes negros entendem a introdução de ações afirmativas como uma forma de combate ao racismo, uma vez que, segundo esta interpretação, a discriminação positiva ajudará os historicamente desprivilegiados a criar e fortalecer uma identidade positiva, outros vêem em tais medidas um ataque perigoso contra a ""maneira tradicional brasileira"" de se relacionar com as ""diferenças humanas"" e temem que políticas como essas possam instigar conflitos raciais abertos. Embora os defensores e opositores à introdução de projetos de ação afirmativa raramente explicitem o que entendem por racismo e como interpretam este fenômeno social, é possível detectar nesses discursos distintas linhas de argumentação que remetem a orientações teóricas diferentes no que diz respeito à análise de categorias como ""raça"" e ""cor"". """,,"""SciELO SciELO"""
artivo97,"""Ações afirmativas na UFPR: impactos da Lei n.12.711/2012 em dois cursos""","""Moreira_ Claudia Regina Baukat Silveira | Silva_ Paulo Vinicius Baptista Da""","""Laplage em revista, 2019, Vol.5(3), pp.110-127 [Periódico revisado por pares]""","""O artigo avalia se a implementação da Lei n.12.711/2012 contribuiu para a diversificação do público recrutado por meio do vestibular da UFPR, analisando para tanto os perfis dos aprovados no certame 2016-2017 nos cursos de pedagogia e medicina, construídos a partir dos dados informados por ocasião da inscrição ao processo seletivo. Conclui-se que, no curso de medicina, a política de cotas permitiu uma maior diversificação dos perfis dos estudantes, fato que não se verifica com a mesma pujança em pedagogia, que pode ser expressão da manutenção das desigualdades educacionais. A política é exitosa em relação às metas estabelecidas, no entanto encontra seu limite no público que é capaz de atrair para cada curso.  """,,"""Fundación Dialnet"""
artivo98,"""Ações afirmativas e o debate sobre racismo no Brasil Afirmative actions and the debate on racism in Brazil""","""Andreas Hofbauer""","""Lua Nova: Revista de Cultura e Política, 01 January 2006, Issue 68, pp.9-56 [Periódico revisado por pares]""","""O tema ""ações afirmativas"" tem dividido a opinião pública e esquentado o debate acadêmico. Enquanto alguns especialistas e militantes negros entendem a introdução de ações afirmativas como uma forma de combate ao racismo, uma vez que, segundo esta interpretação, a discriminação positiva ajudará... """,,Directory of Open Access
artivo99,"""Race-based affirmative actions and the role played by the newspaper folha de S.Paulo""","""Ferreira_ N-T-""","""Cadernos de Pesquisa, January-March 2019, Vol.49(171), pp.110-129 [Periódico revisado por pares]""","""This article intends to show the role played by the newspaper Folha de S.Paulo in discussions on race-based affirmative actions in higher education. First, discussions are presented based on the conception focused on initiatives to reduce racial inequalities....""",,
artivo100,"""Um panorama das ações afirmativas em universidades federais do sudeste Brasileiro""","""da Silva_ G-H-G-""","""Cadernos de Pesquisa, July-September 2019, Vol.49(173), pp.184-206 [Periódico revisado por pares]""","""The theme of this paper is related to the access to and permanence of students from underrepresented groups in Brazilian Higher Education. Its objective is to provide a broad framework regarding the treatment of affirmative action policies in federal..""",,
artivo101,"""Há igualdade na desigualdade? Abrangência e limites das ações afirmativas""","""Pautassi_ Laura C""","""Sur. Revista Internacional de Direitos Humanos, January 2007, Vol.4(6), pp.70-93 [Periódico revisado por pares]""","""O artigo reflete sobre diversas ações que se desenvolveram na América Latina com o intuito de garantir a igualdade entre homens e mulheres a partir de diferentes estratégias e ações afirmativas aplicadas em diversos campos (relações trabalhistas, conciliação trabalho-família, seguridade social). A análise se concentra na responsabilidade do Estado em matéria de regulação trabalhista, considerando em especial o princípio jurídico de igualdade de tratamento, bem como o direito à seguridade social. O artigo distingue os conceitos de discriminação e desigualdade, e analisa os pressupostos da igualdade e da diferença de gênero, a base da regulação trabalhista e da seguridade social. A partir disso, são apresentadas propostas de políticas públicas que promovam novos projetos institucionais, especialmente para o sistema de previdência social e de políticas conciliatórias e para o emprego em geral. """,,"""SciELO SciELO"""
artivo102,"""AS POLÍTICAS DE AÇÕES AFIRMATIVAS PARA A EFETIVAÇÃO DE DIREITOS DA MINORIA NEGRA NO BRASIL""","""Danielle Annoni""","""Revista Direitos Culturais, 01 December 2009, Vol.4(6), pp.173-186 [Periódico revisado por pares]""","""Este trabalho ressalta a importância do investimento em políticas de ações afirmativas para a concretização dos direitos dos grupos sociais negros no país e para a promoção da igualdade racial na sociedade. Neste sentido, visou-se destacar a construção histórica e social das relações raciais no Brasil e os reflexos das políticas de ações afirmativas na efetivação dos direitos de cidadania das minorias.""","""s Ações afirmativas Igualdade racial Minoria Negra""",Directory of Open Access
artivo103,"""Ações afirmativas e o debate sobre racismo no Brasil""","""Hofbauer_ A-""","""Lua Nova, 2006, Issue 68, pp.9-56 [Periódico revisado por pares]""","""Ações Afirmativas são medidas que visam à democratização do acesso ao emprego e à educação. Nas universidades brasileiras essas ações constituem programas de cotas para a inserção de grupos sociais com histórico de exclusão. No entanto a questão torna-se complexa quando são levantados critérios étnicos para sua definição. O objetivo do presente estudo, de revisão da literatura - do tipo estado da arte - é contribuir para a discussão no cenário brasileiro sobre as ações afirmativas no Ensino Superior a partir do levantamento do estado da arte nos últimos cinco anos. Foram utilizadas bases de dados eletrônicas (SCOPUS e Jstor); e os dados tratados conforme a Análise de Conteúdo de Bardin (1977). Os resultados foram organizados em três unidades de análise: (a) dicotomia entre artigos a favor ou contra as medidas; (b) enriquecimento do debate sobre ""diversidade""; e (c) visualização dialética, mais integrada e reflexiva. Os achados contribuem para a compreensão da situação brasileira no cenário atual de proposição de políticas públicas na Educação Superior.""",,
artivo104,"""Crédito educativo, ações afirmativas e equidade social na educação superior da colômbia""","""Campo_ V-M-G- | Giraldo_ J-E-C-""","""Revista de Estudios Sociales, 2009, Vol.33, pp.106-117 [Periódico revisado por pares]""","""How do we take stock of affirmative action in Brazil? How should we understand the first initiatives of introduction of a legal framework that institutes affirmative action? What has been the impact of the global agenda on the domestic order? To what extent have the Convention on the Elimination of All Forms of Racial Discrimination and the Conference of Durban fostered domestic progress? What are the key challenges, dilemmas and tensions facing affirmative action? What are the possibilities and prospects for the attainment of ethnical and racial equity in Brazil? These are the key questions that inspire this paper. """,,Directory of Open Access
artivo105,"""Ações afirmativas no Brasil e na África do Sul""","""Silva_ Graziella Moraes Dias Da""","""Tempo Social, 01 November 2006, Vol.18(2), pp.131-165 [Periódico revisado por pares]""","""Neste artigo, comparo as políticas de ações afirmativas no ensino superior no Brasil e na África do Sul. Algumas perguntas orientam essa comparação: por que países com histórias e estruturas raciais completamente diferentes estão implementando políticas semelhantes para lidar com a desigualdade entre as raças? Mais especificamente, por que o Brasil, um país de fronteiras raciais menos rígidas do que a África do Sul, implantou uma forma mais radical de ação afirmativa? Como as diferentes compreensões nacionais do que é raça influenciam a adoção e as discussões sobre as ações afirmativas dirigidas às questões raciais? Por fim, e talvez mais importante, como essas políticas ""importadas"" influenciam os debates raciais no Brasil e na África do Sul? """,,"""SciELO SciELO"""
artivo106,"""Ações afirmativas e formação de professores: diálogos e perspectivas a partir do NEAB/UFSCar""","""Rodrigues_ Tatiane Cosentino | Cardoso_ Ivanilda Amado | Da Silva_ Andreia Rosalina""","""Roteiro, 2019, Vol.44(2) [Periódico revisado por pares]""","""Among the challenges posed by the process of implementing affirmative action policies in the modality of quotas and/or reservation of vacancies in access to higher education, there is still an unexplored dimension that corresponds to the production of plural sciences and knowledge that are capable of altering unequal and discriminatory patterns still present in Brazilian society. The purpose of this article is to present a critical-purpose reflection about political-pedagogical practices based on the experience of the Afro-Brazilian Studies Center of the Federal University of São Carlos, which has helped the field of education in understanding some of these policy challenges caused by affirmative action especially the initial and continuing teacher training. Entre os desafios provocados pelo processo de implementação das políticas de ação afirmativa, na modalidade de cotas e/ou reserva de vagas para o acesso ao ensino superior, persiste uma dimensão pouco explorada, que corresponde à produção de ciências e conhecimentos plurais que sejam capazes de alterar padrões desiguais e discriminatórios ainda presentes na sociedade brasileira. O objetivo deste artigo é apresentar uma reflexão crítico-propositiva sobre práticas político-pedagógicas a partir da experiência do Núcleo de Estudos Afro-brasileiros da Universidade Federal de São Carlos que têm auxiliado o campo da educação na compreensão de alguns dos desafios provocados pelas políticas de ações afirmativas, especialmente a formação inicial e continuada de professores. """,,
artivo107,"""Polarização no debate das cotas encobre diversidade das ações afirmativas""","""Cantarino_ Carolina""","""Ciência e Cultura, 01 December 2006, Vol.58(4), pp.6-8 [Periódico revisado por pares]""","""This paper analyses the affirmatives polices for the indians peoples. lt transcends the dichotomy between meritocracy and difference. lt utilizes the theorical categories citizenship, interculturality and tradition. """,,Directory of Open Access
artivo108,"""Ações afirmativas no Brasil e na África do Sul Affirmative actions in Brazil and South Africa""","""Graziella Moraes Dias Da Silva""","""Tempo Social, 01 November 2006, Vol.18(2), pp.131-165 [Periódico revisado por pares]""","""Neste artigo, comparo as políticas de ações afirmativas no ensino superior no Brasil e na África do Sul. Algumas perguntas orientam essa comparação: por que países com histórias e estruturas raciais completamente diferentes estão implementando políticas semelhantes para lidar com a desigualdade...""",,
artivo109,"""Ações afirmativas na pós-graduação stricto sensu: Análise da universidade federal do Paraná""","""Vanali_ A-C- | Da Silva_ P-V-B-""","""Cadernos de Pesquisa, January-March 2019, Vol.49(171), pp.86-109 [Periódico revisado por pares]""","""This article discusses the distribution of teachers and students by color/race in stricto sensu graduate programs of the Universidade Federal do Paraná (UFPR), analyzing the extent of white hegemony and the degree to which the black population was able...""",,
artivo110,"""Cotas raciais na universidade brasileira e a ideologia da meritocracia""",""" ""","""Revista Educação, Cultura e Sociedade, 01 January 2018, Vol.8(1) [Periódico revisado por pares]""","""As ações afirmativas tornaram-se, no atual contexto brasileiro, mais do que uma mera concessão governamental, no âmbito de políticas públicas universalistas, mas um imperativo inequivocamente direcionado para sanar distorções historicamente construídas em relação à população brasileira afrodescendente,... """,,Directory of Open Access
artivo111,"""Estratégias de diálogo com o estranhamento no começo da vida universitária: políticas de acolhimento e permanência na Universidade Federal do Sul da Bahia""","""Silva Ferreira_ Sandro Augusto""","""Revista Internacional de Educação Superior, 2017, Vol.3(2), pp.291-307 [Periódico revisado por pares]""","""As transformações recentes na Universidade Pública, especialmente quanto as políticas de ingresso por meio das Ações Afirmativas, geram um conjunto de desafios na promoção da permanência material e simbólica na universidade. Além dos programas de assistência estudantil voltadas ao apoio pecuniário, tem se tornado necessário um conjunto de novas intervenções voltadas ao acolhimento e produção de afiliação aos novos estudantes, na sua maioria oriundos de famílias sem histórico de formação universitária. Neste sentido as atividades de recepção e orientação nos primeiros dias, e as ações de combate ao trote e outras violências assume importante papel na construção de trajetórias de sucesso na universidade. Este artigo avalia o modelo adotado pela Universidade federal do Sul da Bahia na recepção aos alunos da sua segunda turma. Avalia também a potencialidade deste mecanismo de afiliação para o sucesso dos diversos programas de ações afirmativas. """,,"""Fundación Dialnet"""
artivo112,"""Entre o previsível e o contingente: etnografia do processo de decisão sobre uma política de ação afirmativa""","""Bevilaqua_ Ciméa Barbato""","""Revista de Antropologia, 01 June 2005, Vol.48(1), pp.167-225 [Periódico revisado por pares]""","""Este artigo apresenta uma etnografia do processo de decisão sobre o estabelecimento de ações afirmativas na Universidade Federal do Paraná, enfocando particularmente as sessões do Conselho Universitário que culminaram com a aprovação de um Plano de Metas de Inclusão Racial e Social na instituição. Ao situar empiricamente o tema das cotas nas universidades, torna-se possível incorporar novos elementos à reflexão sobre as políticas públicas de ação afirmativa, bem como identificar princípios subjacentes à dinâmica da formulação de normas institucionais numa instância específica do setor público. A análise do material etnográfico sugere uma aproximação com a lógica do sacrifício, tal como descrita por Marcel Mauss.""",,
artivo113,"""Pode a genética definir quem deve se beneficiar das cotas universitárias e demais ações afirmativas?""","""Pena_ Sérgio D-J | Bortolini_ Maria Cátira""","""Estudos Avançados, 01 April 2004, Vol.18(50), pp.31-50 [Periódico revisado por pares]""","""NESTE TRABALHO nós usamos o instrumental da genética molecular e da genética de populações para estimar quantitativamente a contribuição africana para a formação do povo brasileiro. Examinamos dois compartimentos genômicos: o DNA mitocondrial, de herança matrilínea, e o DNA nuclear, de herança bi-parental. Os estudos mitocondriais revelaram que aproximadamente 30% dos brasileiros autoclassificados como brancos e 80% dos negros apresentam linhagens maternas características da áfrica subsaariana. A partir destes dados, estimamos que pelo menos 89 milhões de brasileiros são afro-descendentes, um número bem superior aos 76 milhões de pessoas que se declararam negros (pretos e pardos) no censo de 2000 do IBGE. As análises de polimorfismos nucleares com marcadores ""informativos de ancestralidade"" mostraram resultados mais expressivos ainda. Usando estudos de brasileiros autoclassificados como brancos de várias regiões do Brasil, estimamos que aproximadamente 146 milhões de brasileiros (86% da população) apresentam mais de 10% de contribuição africana em seu genoma. Estes números devem ser levados em conta nas discussões sobre ações afirmativas no Brasil, mas em um sentido descritivo e não prescritivo.""",,
artivo114,"""A neutralização das discriminações por meio da educação da criança""","""Agra_ Klondy Lúcia de Oliveira""","""Revista Brasileira de Estudos Pedagógicos, 01 December 2012, Vol.93(235), pp.612-626 [Periódico revisado por pares]""","""Discorre brevemente, a partir de pesquisa bibliográfica e etnográfica, sobre as ações afirmativas implantadas no Brasil a partir dos anos 90 e discute os diversos olhares que as perpassam, com o objetivo de apontar, com auxílio das teorias culturais, caminhos para a promoção da inclusão e da justiça que ultrapassem a teoria e conduzam à prática, mediante a educação da criança desde a primeira infância. """,,"""SciELO SciELO"""
