id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
552	student	1.3365	-0.0667	1	124	690	32
553	study	1.302	-0.0059	1	213	916	46
554	subject	1.5366	0.0689	1	93	230	12
555	sujeito	-0.7515	-0.0504	2	152	323	20
556	sul	-0.0498	-0.0441	3	173	491	26
557	supremo tribunal federal	-0.6954	0.1876	6	69	124	8
558	survey	0.8789	-0.0038	1	82	121	9
559	sus	0.6203	-0.0409	1	56	100	5
560	sustainable development	1.0586	0.0095	1	25	70	4
561	system	1.2251	0.017	1	167	484	21
562	tecnica	-0.8906	0.2013	4	102	226	13
563	tema	-0.5902	0.0861	6	144	340	22
564	tematica	-0.4428	-0.169	3	72	126	9
565	tempo	-0.4341	-0.1381	2	121	204	12
566	tendo	-0.6727	0.0731	2	61	129	9
567	tentativa	-0.3683	0.1754	2	66	98	7
568	teoria	-0.375	-0.0657	2	120	209	16
569	tese	-0.6814	0.1591	5	59	105	5
570	text	1.3651	0.0495	1	90	205	7
571	texto	-0.4956	-0.0344	2	208	575	35
572	theme	1.5267	-0.0259	1	66	120	5
573	theory	1.5367	0.0204	1	86	239	9
574	time	1.4847	-0.0258	1	42	92	5
575	tipo	-0.7059	-0.1204	3	134	311	16
576	trabalhador	-0.5196	-0.1347	2	67	131	8
577	trabalho	-0.4847	-0.111	2	179	570	32
578	trabalho e	-0.1926	-0.1363	3	48	58	4
579	trajectory	1.4093	0.0411	1	101	206	13
580	trajetoria	-0.5935	0.137	2	85	183	10
581	uerj	-0.9411	-0.1903	6	73	213	10
582	uern	-0.071	0.0624	7	41	123	5
583	ufba	-0.7911	-0.2415	5	53	142	6
584	ufpr	-0.4577	-0.2829	3	31	111	6
585	uma da	-1.0819	0.3346	4	121	310	12
586	unb	-0.8716	0.0831	6	77	326	14
587	unidade	-0.8794	-0.2101	3	61	113	4
588	universidad	-0.5027	-0.17	2	16	45	4
589	universidade	-0.5828	0.0149	6	340	2026	104
590	universidade estadual	0.1107	-0.0232	5	97	203	12
591	universidade federal	-0.4551	-0.131	3	188	494	24
592	universidade federal da bahia	-0.7271	-0.1544	5	48	130	6
593	universidade federal de santa catarina	-0.034	0.3096	4	24	41	5
594	university	0.8079	-0.0189	1	141	335	16
595	use	1.1947	0.0273	1	48	72	5
596	uso	-0.7278	-0.0034	6	54	105	8
597	usp	-0.8992	0.289	5	66	401	16
598	vagas	-0.359	-0.2197	3	120	286	12
599	valor e	-0.267	-0.2475	2	24	186	7
600	value	1.4957	-0.037	1	58	125	4
601	varia	-0.6997	0.1146	2	59	77	4
602	varios argumentos contra	-1.4199	0.4686	4	35	139	4
603	vida	-0.4225	0.0863	2	71	124	8
604	visibility	1.5375	0.0748	1	47	92	5
605	way	1.2136	0.0425	1	107	208	11
606	woman	1.4046	0.0551	1	120	574	28
607	work	1.0453	-0.0138	1	119	232	14
608	year	1.3852	0.0323	1	96	243	14
